latitude,longitude,rwi
23.5740566,89.7912598,0.655
23.6948343,88.9123535,-0.1
23.1302568,91.0876465,-0.226
24.537129,91.7028809,0.24
26.3032638,89.0002441,0.389
23.029187,88.8684082,-0.469
25.3539542,89.7692871,0.367
25.0358382,89.1101074,-0.016
23.513626,88.7145996,-0.588
25.7899992,89.0222168,-0.432
23.3926816,91.0437012,0.482
24.0163614,89.6594238,-0.066
22.9482765,91.7907715,-0.296
23.8556976,89.3078613,0.079
25.1751161,90.2526855,-0.087
22.3602361,90.3845215,-0.438
22.9685086,89.8352051,0.432
24.4971459,90.5163574,0.01
22.5835822,90.670166,0.69
24.2970401,91.8566895,0.28
25.6118091,89.6374512,0.222
26.3426524,88.4289551,-0.504
24.6570018,90.5383301,-0.118
24.4371475,88.8244629,0.061
22.9280413,89.8352051,-0.01
24.7168951,89.967041,-0.241
23.9962894,89.5275879,-0.502
23.1908622,91.2854004,0.142
21.8920839,92.0544434,0.432
24.6570018,91.8347168,0.563
23.6747124,91.1535645,0.759
23.9962894,90.9338379,0.192
24.0564961,90.1867676,0.067
25.8097816,89.5056152,-0.009
25.0159284,89.4177246,0.082
26.1850178,89.0881348,-0.327
23.6143282,89.8132324,0.207
24.2970401,90.7580566,-0.34
24.0364303,90.6262207,0.345
23.089838,89.1760254,-0.235
24.2169091,91.0217285,-0.689
24.6769694,89.4177246,1.059
24.0163614,89.5715332,-0.766
23.9561359,90.3845215,1.501
22.7457888,89.7253418,-0.03
23.8356006,89.197998,0.169
23.7551814,90.1867676,0.696
26.1061204,88.6047363,-0.207
22.1772314,92.2521973,-0.226
23.049407,91.1535645,0.095
22.4008712,91.9885254,0.3
23.089838,89.4177246,-0.597
24.4771496,90.0549316,-0.008
22.2992611,90.802002,-0.94
22.5430006,91.1755371,-0.047
22.6647094,92.0544434,-0.264
23.5337726,88.9562988,0.128
22.7255234,88.9562988,0.034
22.9685086,89.4836426,0.488
23.3523422,88.9562988,-0.317
24.0765587,89.2199707,0.313
23.513626,89.0222168,0.215
22.7457888,92.2521973,-0.147
22.8673176,91.4831543,-0.146
21.5450657,92.0324707,0.461
25.7306321,89.6374512,0.162
22.6849838,89.0441895,0.395
22.1568828,92.142334,-0.169
24.3370866,89.967041,-0.189
25.5325281,89.0002441,-0.442
22.82682,90.9338379,-0.524
22.4821059,90.0549316,0.331
24.7967079,88.4069824,-0.558
25.6712354,89.8132324,0.267
25.075648,91.0217285,-0.459
24.7168951,90.7800293,-0.204
21.7084727,92.2302246,-0.807
25.1353386,91.307373,0.212
21.8309063,92.5378418,-0.817
25.5721751,89.0222168,-0.652
24.3771204,90.0769043,0.282
23.6948343,89.2419434,0.028
23.0089639,89.7253418,-0.21
23.2110579,90.6921387,0.603
24.3370866,91.2414551,-0.209
23.8958823,90.2087402,0.451
24.8565339,90.670166,0.335
23.7149531,88.8244629,-0.145
23.2110579,89.5495605,-0.623
23.6545875,90.8898926,0.148
22.7255234,89.0222168,-0.444
23.91597,89.2199707,-0.032
24.7767595,92.0324707,0.026
24.7568079,90.7141113,0.124
24.0966182,90.5822754,0.337
24.7168951,90.4064941,0.927
21.8920839,92.2961426,-0.53
24.2169091,89.6594238,0.48
23.4128467,89.395752,0.164
24.6570018,89.7473145,-0.258
22.6444321,89.4177246,0.55
24.4571501,90.5822754,-0.404
25.5325281,89.5495605,-0.141
25.0557447,91.3952637,0.6
24.2569809,89.3078613,-0.25
24.9561796,88.5168457,-0.263
22.9685086,91.1535645,0.255
25.8888782,88.8684082,0.219
22.2992611,90.2307129,-0.43
23.91597,89.1320801,1.475
22.7457888,89.1760254,-0.208
24.1367278,91.373291,-0.292
23.7752908,88.8024902,0.179
25.3936601,89.329834,-0.397
24.5770993,91.8347168,-0.086
25.6712354,89.3078613,-0.106
24.916331,89.5275879,-0.458
24.5171391,89.8132324,-0.408
23.91597,90.5822754,0.309
22.2789302,90.5822754,-0.507
23.6948343,91.1315918,-0.021
24.9362569,91.1096191,-0.242
23.7752908,89.0881348,-0.154
24.8365952,91.8127441,0.338
25.7108365,88.8464355,-0.129
23.9561359,90.1867676,0.247
22.4618017,92.1643066,-0.427
